Time_Stamps,Upvote Ratio,Author,Score,Number of Comments,Comment
2023-09-28 06:00:08,0.25,Dry-Rate-4092,0,0,iPhone 15 Pro - NOT what iExpected😵‍💫!!
2023-09-28 01:30:13,1.0,Y8fKZyZrSn,1,3,UPS app not working on 15 pro.
2023-09-27 20:44:22,1.0,Best_Kitchen_7456,2,1,Power bank cable to charge iphone 15 (not the cable that comes with the phone)
2023-09-28 00:21:15,0.4,nickyurbz,0,1,Belkin Screen Protector from the Apple Store….
2023-09-27 04:26:20,1.0,chiefarab,16,1,PSA: Change your Haptic Touch duration to fast!
2023-09-27 11:37:10,0.83,Suhorang,4,10,Switched from Android to IPhone 15 regular. Should I get the plus variant?
2023-09-27 10:10:59,0.81,Cheesemeyo,3,2,When plugging in to charge when locked the screen looks like this
2023-09-27 04:33:23,0.79,TiltedWeenies,8,6,"TIL, iPhone 14 Leather Cases fit the 15."
2023-09-27 14:33:06,1.0,davejdesign,1,4,Incoming text messages not giving sound alert on lock screen
2023-09-27 02:29:42,0.85,TPM_521,9,6,Positive energy for my 15P/PM folks
2023-09-27 08:32:14,0.75,ExpectoPatronummmmm,2,5,iPhone 15 pro gets hot
2023-09-27 04:38:17,1.0,rkaria1970,3,2,iPhone 15 PM vs 15 Plus displays?
2023-09-26 20:29:13,0.82,apmass1,10,55,How is your guy’s experience with the 15?
2023-09-27 00:52:33,1.0,PSPersuasion,3,0,Cropping Issues?
2023-09-27 06:35:50,0.5,Felix1776,0,16,The iPhone gets hot
2023-09-27 02:33:29,1.0,Mammoth_Paper_287,2,1,Can Regular iPhone 15 record videos to External SSD?
2023-09-26 21:18:48,1.0,trueoriginal,6,7,Base or Pro? Upgrading from 12 Mini
2023-09-27 19:31:47,0.25,BedsRoom,0,51,Just gonna leave this here for those who decided to go 14 pro to any of the 15..
2023-09-27 04:51:23,1.0,PlayfulLow7367,1,0,iPhone 15 earspeaker issues?
2023-09-26 20:32:37,0.75,ExpectoPatronummmmm,4,30,iPhone 15 Pro or 15 plus?
2023-09-26 14:12:51,0.78,prplpanth,10,7,iPhone 15 Pro Max is the best iPhone yet
2023-09-26 19:21:25,0.67,AndroidLover10101,2,6,Can I get an iPhone 15 with a SIM slot in the US?
2023-09-26 03:58:04,0.7,AstrosEcho,29,146,i regret buying the 15 pro
2023-09-26 21:52:35,0.67,Exciting_Electronics,1,4,Issues.
2023-09-26 17:23:04,1.0,Own_Horse1216,2,5,Car play
2023-09-26 19:47:46,0.67,Nwasher1234,1,6,CarPlay and Battery
2023-09-26 15:49:57,1.0,panaski444,2,2,"Iphone 15 plus,is the x2 zoom working as a macro lens ?"
2023-09-26 15:36:17,1.0,Ok-Cry-708,2,8,"Switching from regular 12, which is better choice"
2023-09-26 19:18:44,1.0,PlayfulLow7367,1,3,iPhone 15 plus earspeaker crackling sound ?
2023-09-26 09:18:40,0.88,autistic_prodigy28,6,12,Iphone 15 getting hot while using camera
2023-09-26 11:34:44,1.0,Outrageous_Diver5700,2,0,iPhone 15 Bugs
2023-09-26 03:39:03,0.9,Miyake_tech,7,13,Upgrade to iPhone 15 from iPhone 14 Pro
2023-09-25 21:39:59,1.0,PruneExtra8699,15,21,iphone 15 pro max Battery
2023-09-26 03:13:34,0.86,reddit_2324,5,3,iphone 15 pro max overheating on phone calls??
2023-09-26 11:45:08,0.5,JimBoy1804,0,49,iPhone 14 or 15?
2023-09-26 11:29:58,1.0,CompetitiveRespond49,1,4,Best insurance cover for iPhone 15 Pro
2023-09-26 05:07:14,0.83,Amazing-Put4977,4,13,my 15 pro keeps heating up to the point of discomfort. anybody knows why?
2023-09-25 21:50:29,0.86,BloodRaven263,10,64,Upgrading to iPhone 15/15 Pro from iPhone 8. Which one should i get?
2023-09-26 09:39:49,0.67,EatMoreHoagies,1,7,Clear iPhone Case Differences?
2023-09-26 02:46:21,1.0,TwoCables_from_OCN,2,2,Can you show me this area of settings on iPhone 15? Thank you kindly.
2023-09-26 02:18:25,1.0,therealanakin123,2,2,Best slim MagSafe case?
2023-09-25 10:24:37,0.88,Dry_Bowl_,30,9,from galaxy s8+ to iPhone 15
2023-09-25 22:47:30,1.0,boogabear81,3,4,CarPlay and Cables
2023-09-25 20:55:19,1.0,WallStreetKernel,2,1,15 Pro Max front facing speaker clipping/rattle
2023-09-25 18:23:48,0.67,HjalmrNjalsson,2,3,Am I missing something?
2023-09-25 22:00:39,0.5,Artiboiii,0,1,can someone help me? iphone 15 for snapchat
2023-09-25 16:22:26,0.67,twilightsunny,2,9,My 12 Pro Max is brighter than 15 Pro Max.
2023-09-26 04:47:50,0.22,webproeducation,0,0,How To Screenshot On iPhone 15 & iPhone 15 Pro
2023-09-25 09:05:24,0.88,happykriskringles,6,9,15 plus difference to 14 pro max?
2023-09-25 13:28:31,1.0,SunsetToGo,2,1,Benchmarks iPhone 15/Plus/Pro/Max in normal mode vs low power mode
2023-09-25 02:22:24,1.0,skyker-andobil,10,6,I’m really surprised there’s no product red color this year
2023-09-24 15:25:13,0.88,T_Briggs,67,15,His and hers
2023-09-25 13:30:24,0.5,suprememama,0,3,iphone 15 ad
2023-09-25 12:39:35,1.0,sereza1,1,0,video quality on TT is bad on iphone 15???
2023-09-25 18:01:30,0.2,Interesting-Try4885,0,1,Family upgrading to an iPhone 11/12 to a 15. Whats should I expect? (Poll Included)
2023-09-25 12:01:24,1.0,Y8fKZyZrSn,1,2,Volume help
2023-09-24 16:59:57,0.93,Nwasher1234,29,14,Pics on iPhone 15 Plus
2023-09-25 01:41:49,0.87,Maverett,6,33,Buyer’s Remorse for Colour?
2023-09-25 10:05:36,1.0,dogsfromspace,1,0,iPhone 15 and iPhone 15 Pro: How to Use All the New Features
2023-09-24 22:54:38,0.9,andrea_balla,8,0,Possible construction problem of 15 Pro’s series
2023-09-25 00:52:51,0.86,arcanejee,5,16,Most of my old iPhone 14 Pro Max Cases fit the iPhone 15 Pro Max!
2023-09-24 20:03:52,1.0,YngKeff69420,7,6,Long distance picture on iPhone 15 pro max at cedar point
2023-09-24 20:00:59,0.8,Individual-Zombie337,6,29,Question
2023-09-25 04:22:42,0.6,themeshook,1,0,iphone 15 pro max durability Test #iphone15promax #durabilitycheck
2023-09-25 04:22:39,0.6,themeshook,1,0,iphone 15 pro max durability Test #iphone15promax #durabilitycheck
2023-09-25 04:22:38,0.6,themeshook,1,0,iphone 15 pro max durability Test #iphone15promax #durabilitycheck
2023-09-24 18:46:01,0.75,RecognitionLower9328,4,3,"Finally, 80 limit on iPhone 15"
2023-09-24 20:57:26,1.0,jagfromns,3,4,CarPlay not connecting with new IPhone 15 pro max
2023-09-24 22:53:11,0.75,olympictorchEA,2,5,How do you connect iPhone 15 Pro Max to a Mazda CX-5?
2023-09-25 05:33:12,0.25,Individual-Zombie337,0,29,iPhone battery issue
2023-09-24 15:39:14,1.0,Savini72,6,7,I’m damn jealous!
2023-09-24 23:49:37,1.0,Druvven,1,3,iPhone 15 PM usb 3
2023-09-24 09:02:46,1.0,1800piratecum,15,2,Launch day! iPhone 11 to iPhone 15! You can tell my favourite colour
2023-09-24 16:40:59,1.0,These_Ad_3138,3,4,Question on how to setup
2023-09-24 21:14:16,0.67,rachyyc8,1,1,iPhone 15 Plus Battery
2023-09-24 00:59:56,0.94,Reececup_11,38,4,iPhone Day!
2023-09-24 15:59:18,1.0,davejdesign,2,6,Verizon vs Apple trade in offers
2023-09-24 19:25:22,0.5,InjectorSpectre,0,10,keep always on display or disable?
2023-09-24 07:05:31,0.81,WeatherWindfall,6,0,Gold/Starlight Lives On!
2023-09-23 22:47:14,0.97,RamiTrolleyFan,23,2,Taken on Base 15
2023-09-23 22:00:31,0.93,EntertainmentOk4802,26,8,Obligatory new phone post
2023-09-24 15:06:53,0.5,Wise-Ad-2015,0,3,anyone facing an issue of a black bar at the bottom on an opened snap in iphone 15
2023-09-24 07:27:35,1.0,Awkward-Panda-1985,3,6,Color Regret?
2023-09-24 03:20:46,0.83,Mission-Background-2,4,25,15 or 15 pro?
2023-09-23 19:14:47,0.87,MrHorns7,11,1,Captured on iPhone 15
2023-09-24 00:06:29,1.0,Adventurous_Garden49,3,1,iPhone 15 Blurs Lockscreen
2023-09-24 01:33:02,1.0,basinbarack,2,3,Action button - good uses?
2023-09-24 01:32:35,1.0,Lowkeei-,2,3,Weird Charging issues
2023-09-23 18:34:46,0.88,Labalmegreat,6,6,Loving this combo
2023-09-23 20:25:38,0.63,OddExplanation5527,4,20,iPhone 15 Pro 120hz screen make me sick
2023-09-24 03:19:00,0.5,farooqali1973,0,0,How to Set Up Your iPhone 15 Pro Quickly and Easily
2023-09-24 01:29:38,1.0,AtypicalNerdGeek,1,3,Why I'd Opt for the Base iPhone if Apple Included 120Hz (ProMotion)
2023-09-23 19:03:21,1.0,-MoreX,3,11,Pro or Max?
2023-09-23 21:05:03,1.0,TX-26,2,4,Extremely hot when charging
2023-09-23 19:20:03,1.0,Alex20041509,2,4,"Maybe a stupid question, Base model port data transfer"
2023-09-23 01:57:32,0.92,MaURoBeRNa1989,48,16,"Finally i got this phone, came from iPhone 11 Pro"
2023-09-23 21:46:32,1.0,go_run_,1,0,I finally got it. Iphone 15 pro natural titanium
2023-09-22 18:02:03,0.96,basinbarack,150,72,Just got my iPhone 15 pro max!
2023-09-23 20:27:07,0.67,theanimaster,1,10,What is my old iPhone doing??
2023-09-22 23:30:56,0.99,TiltedWeenies,40,9,Joined the Pink Gang!
2023-09-23 08:18:40,1.0,ImpressiveEarth2990,5,5,iphone 15 keyboard lagging
2023-09-23 16:33:05,1.0,TechTainmentOra,1,0,"The iPhone 15, iPhone 15 Plus, iPhone 15 Pro, and iPhone 15 Pro Max are now available in India: Price and Offers"
2023-09-23 03:54:51,0.81,maxdepazftp,9,13,been stuck on this software update page for about 5 hours now without any update? anyone know how to fix this or get it to actually work??
